# DURATION     TID     FUNCTION
   0.457 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.506 us [ 63010] |             lseek();
   0.964 us [ 63010] |             read();
   1.994 us [ 63010] |           } /* disk_read */
   2.236 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.441 us [ 63010] |             lseek();
   0.995 us [ 63010] |             read();
   1.940 us [ 63010] |           } /* disk_read */
   2.122 us [ 63010] |         } /* read_block */
   0.145 us [ 63010] |         strcmp();
   0.133 us [ 63010] |         strcmp();
   0.132 us [ 63010] |         strcmp();
   7.000 us [ 63010] |       } /* sfuse_readdir_cb */
  13.482 us [ 63010] |       /* linux:schedule */
   7.035 us [ 63010] |       /* linux:schedule */
   9.920 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.139 us [ 63010] |           fuse_get_context();
   0.472 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.149 us [ 63010] |           strcmp();
   0.456 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.497 us [ 63010] |             lseek();
   0.980 us [ 63010] |             read();
   2.015 us [ 63010] |           } /* disk_read */
   2.259 us [ 63010] |         } /* inode_load */
   0.128 us [ 63010] |         memset();
   3.884 us [ 63010] |       } /* sfuse_getattr_cb */
  15.897 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.139 us [ 63010] |           fuse_get_context();
   0.541 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.146 us [ 63010] |           strcmp();
   0.449 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.511 us [ 63010] |             lseek();
   7.712 us [ 63010] |             read();
   8.741 us [ 63010] |           } /* disk_read */
   9.042 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.446 us [ 63010] |             lseek();
   0.998 us [ 63010] |             read();
   1.921 us [ 63010] |           } /* disk_read */
   2.165 us [ 63010] |         } /* read_block */
   0.131 us [ 63010] |         strcmp();
   0.127 us [ 63010] |         strcmp();
   0.130 us [ 63010] |         strcmp();
  14.238 us [ 63010] |       } /* sfuse_readdir_cb */
